Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
3.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
3.5,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
3.6,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
3.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
3.8,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
3.9,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
4.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
4.1,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
4.2,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
4.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
4.4,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
4.5,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
4.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
4.7,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
4.8,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
4.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
5.0,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
5.1,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
5.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
5.3,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
5.4,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
5.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
5.6,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
5.7,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
5.8,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
5.9,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
6.0,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
6.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
6.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
6.3,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
6.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
6.5,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
6.6,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
6.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
6.8,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
6.9,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
7.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
7.1,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
7.2,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
7.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
7.4,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
7.5,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
7.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
7.7,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
7.8,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
7.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
8.0,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
8.1,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
8.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
8.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
8.4,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
8.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
8.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
8.7,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
8.8,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
8.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
9.0,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
9.1,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
9.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
9.3,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
9.4,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
9.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
9.6,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
9.7,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
9.8,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
9.9,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
10.0,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
10.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
10.2,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
10.3,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
10.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
10.5,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
10.6,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
10.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
10.8,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
10.9,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
11.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
11.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
11.2,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
11.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
11.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
11.5,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
11.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
11.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
11.8,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
11.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
12.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
12.1,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
12.2,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
12.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
12.4,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
12.5,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
12.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
12.7,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
12.8,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
12.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
13.0,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
13.1,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
13.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
13.3,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
13.4,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
13.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
13.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
13.7,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
13.8,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
13.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
14.0,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
14.1,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
14.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
14.3,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
14.4,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
14.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
14.6,-70.0,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
14.7,-70.0,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
